iter	Passed	Remaining
921	24878	2104
922	24879	2075
923	24881	2046
924	24882	2017
925	24883	1988
926	24885	1959
927	24914	1933
928	24916	1904
929	24917	1875
930	24919	1846
931	24920	1818
932	24922	1789
933	24924	1761
934	24926	1732
935	24929	1704
936	24930	1676
937	24932	1647
938	24936	1619
939	24940	1591
940	24942	1563
941	24943	1535
942	24945	1507
943	24947	1479
944	24948	1452
945	24950	1424
946	24951	1396
947	24952	1368
948	24954	1341
949	24955	1313
950	24957	1285
951	24958	1258
952	24959	1230
953	24961	1203
954	24962	1176
955	24964	1148
956	24965	1121
957	24966	1094
958	24968	1067
959	24969	1040
960	24970	1013
961	24972	986
962	24973	959
963	24974	932
964	24975	905
965	24976	879
966	24977	852
967	24978	825
968	24979	799
969	24980	772
970	24981	746
971	24982	719
972	24984	693
973	24985	666
974	24986	640
975	24987	614
976	24988	588
977	24989	562
978	24991	536
979	24992	510
980	24993	484
981	24994	458
982	24995	432
983	24996	406
984	24997	380
985	24998	354
986	24999	329
987	25000	303
988	25001	278
989	25003	252
990	25004	227
991	25005	201
992	25006	176
993	25007	150
994	25008	125
995	25009	100
996	25010	75
997	25016	50
998	25017	25
999	25018	0
945	125
995	24950	100
996	24952	75
997	24957	50
998	24959	24
999	24967	0
