Mon Mar 20 16:43:06 2023    profile_results_base.prof

         45452990 function calls (44306479 primitive calls) in 47.028 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11481    0.028    0.000    0.258    0.000 typing_extensions.py:470(__instancecheck__)
      459    0.004    0.000    0.256    0.001 gen_dataset_ops.py:1056(concatenate_dataset)
     1377    0.003    0.000    0.255    0.000 accessor.py:228(__getitem__)
   214940    0.136    0.000    0.252    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
    38566    0.035    0.000    0.252    0.000 config.py:114(_get_option)
     4132    0.062    0.000    0.252    0.000 tokenize.py:275(compat)
      459    0.002    0.000    0.250    0.001 ops.py:1019(agg_series)
      459    0.002    0.000    0.249    0.001 3754886086.py:20(<lambda>)
    26171    0.060    0.000    0.247    0.000 base.py:511(_dtype_to_subclass)
    14688    0.030    0.000    0.246    0.000 ops.py:114(_resolve_name)
    57407    0.078    0.000    0.245    0.000 common.py:1264(is_bool_dtype)
      920    0.003    0.000    0.243    0.000 construction.py:100(arrays_to_mgr)
     5049    0.084    0.000    0.241    0.000 index_tricks.py:323(__getitem__)
    11496    0.069    0.000    0.241    0.000 ops.py:3844(_create_op_helper)
    62048    0.022    0.000    0.238    0.000 _methods.py:54(_any)
      459    0.008    0.000    0.237    0.001 ops.py:1069(_aggregate_series_fast)
     2296    0.006    0.000    0.237    0.000 resource_variable_ops.py:635(numpy)
     2295    0.004    0.000    0.231    0.000 dataset_ops.py:4391(__init__)
     1836    0.006    0.000    0.229    0.000 ops.py:631(cython_operation)
   114945    0.068    0.000    0.229    0.000 common.py:1718(validate_all_hashable)
      919    0.002    0.000    0.228    0.000 concat.py:547(_get_new_axes)
     2754    0.089    0.000    0.228    0.000 multi.py:1073(_engine)
     1838    0.019    0.000    0.228    0.000 managers.py:1197(idelete)
      919    0.003    0.000    0.226    0.000 concat.py:550(<listcomp>)
     1836    0.002    0.000    0.223    0.000 ops.py:869(codes)
     5546    0.004    0.000    0.222    0.000 managers.py:595(<listcomp>)
   130182    0.194    0.000    0.221    0.000 contextlib.py:81(__init__)
     1836    0.002    0.000    0.221    0.000 ops.py:871(<listcomp>)
     1377    0.009    0.000    0.221    0.000 base.py:5991(drop)
     3672    0.013    0.000    0.220    0.000 multi.py:1119(copy)
     3672    0.003    0.000    0.219    0.000 grouper.py:606(codes)
    15147    0.047    0.000    0.219    0.000 algorithms.py:300(_check_object_for_strings)
    11092    0.022    0.000    0.218    0.000 managers.py:592(copy_func)
     1836    0.003    0.000    0.216    0.000 grouper.py:639(_codes_and_uniques)
     2296    0.008    0.000    0.215    0.000 resource_variable_ops.py:715(read_value)
    13774    0.060    0.000    0.215    0.000 base.py:2018(is_unique)
     2295    0.096    0.000    0.214    0.000 sorting.py:97(get_group_index)
     3213    0.042    0.000    0.213    0.000 multi.py:3472(equals)
    91917    0.147    0.000    0.212    0.000 base.py:605(_simple_new)
    14688    0.016    0.000    0.208    0.000 algorithms.py:279(_get_values_for_rank)
    17454    0.007    0.000    0.208    0.000 missing.py:61(isna)
     1836    0.006    0.000    0.207    0.000 ops.py:488(_cython_op_ndim_compat)
    53284    0.052    0.000    0.207    0.000 common.py:1141(needs_i8_conversion)
     2295    0.015    0.000    0.207    0.000 accessor.py:245(_wrap_result)
     5522    0.019    0.000    0.205    0.000 op_def_library.py:725(_GetOpDef)
     9180    0.027    0.000    0.204    0.000 numerictypes.py:599(find_common_type)
      918    0.009    0.000    0.204    0.000 frame.py:7515(groupby)
     1836    0.061    0.000    0.202    0.000 ops.py:525(_call_cython_op)
     8759    0.015    0.000    0.201    0.000 generic.py:5558(_consolidate_inplace)
    17454    0.025    0.000    0.201    0.000 missing.py:144(_isna)
    11496    0.111    0.000    0.200    0.000 ops.py:1881(_NodeDef)
    50113    0.075    0.000    0.200    0.000 base.py:41(shape)
    56483    0.033    0.000    0.197    0.000 common.py:496(is_categorical_dtype)
     1836    0.010    0.000    0.194    0.000 groupby.py:846(__init__)
     4591    0.018    0.000    0.194    0.000 indexing.py:2357(check_bool_indexer)
    98925    0.114    0.000    0.193    0.000 dtypes.py:719(as_dtype)
     1378    0.015    0.000    0.190    0.000 concat.py:171(concatenate_managers)
      918    0.002    0.000    0.189    0.000 frame.py:6242(<listcomp>)
     1836    0.009    0.000    0.187    0.000 generic.py:1735(_get_label_or_level_values)
    78071    0.071    0.000    0.186    0.000 base.py:6381(maybe_extract_name)
     2295    0.010    0.000    0.186    0.000 object_array.py:35(_str_map)
     1836    0.004    0.000    0.186    0.000 multi.py:1215(__contains__)
     8759    0.013    0.000    0.186    0.000 generic.py:5544(_protect_consolidate)
      459    0.002    0.000    0.185    0.000 3754886086.py:21(<lambda>)
    11496    0.185    0.000    0.185    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_FinishOperation}
     1836    0.007    0.000    0.183    0.000 generic.py:5661(astype)
      918    0.020    0.000    0.182    0.000 grouper.py:680(get_grouper)
     1836    0.006    0.000    0.181    0.000 multi.py:2857(get_loc)
   201816    0.067    0.000    0.179    0.000 abc.py:137(__instancecheck__)
     5522    0.049    0.000    0.178    0.000 op_def_library.py:318(_ExtractAttrProto)
      920    0.004    0.000    0.177    0.000 managers.py:1760(create_block_manager_from_arrays)
    18842    0.128    0.000    0.173    0.000 typing_extensions.py:394(_get_protocol_attrs)
     1377    0.005    0.000    0.172    0.000 structured_function.py:240(trace_tf_function)
